descriptor,N,S,score
(((nA/rX)*(rA-rB))/(np.sqrt(rA)*((rA/rB)+(rB/rX)))),314,0.7842,0.5948
((((rA/rX)-(rB/rX))/((rA/rB)+(rB/rX)))/(np.sqrt(rA)/nA)),314,0.7843,0.5948
(((nA*(rB/rX))*np.log((rA/rB)))/(np.sqrt(rB)*((rA/rB)+(rB/rX)))),314,0.7851,0.6552
(((nA/rX)*np.log((rA/rB)))*(np.sqrt(rB)/((rA/rB)+(rB/rX)))),314,0.7851,0.6552
(((nA*(rA/rB))+(nB*(rA/rX)))/(((rA/rB))**2/np.log((rA/rB)))),314,0.8215,0.7328
(((nA*rX)+(nB*rB))*(np.log((rA/rB))/(rX*(rA/rB)))),314,0.8215,0.7328
(((rB/rX)*np.log((rA/rB)))*((nA/(rA/rX))+(nB/(rA/rB)))),314,0.8215,0.7328
((((rA/rB)/nA)+((rA/rX)/nB))/((rA-rB)/np.cbrt(rA))),314,0.8899,0.7155
(((nA*nB)*(nX/(rA/rB)))*(np.log((rA/rB))*np.cbrt((rB/rX)))),314,0.9047,0.7500
((np.exp((rA/rB))/(nA*(rA/rB)))/(np.log((rA/rB))*np.sqrt((rA/rX)))),314,0.9193,0.7414
((((rA/rB)+(rB/rX))/((rA/rX)-(rB/rX)))/(nA/np.sqrt(rA))),314,0.9270,0.5948
(((rX/nA)*((rA/rB)+(rB/rX)))/((rA-rB)/np.sqrt(rA))),314,0.9270,0.5948
((((rA/rB)+(rB/rX))/(nA*(rB/rX)))/(np.log((rA/rB))/np.sqrt(rB))),314,0.9324,0.6552
((((rA/rB)+(rB/rX))/np.log((rA/rB)))/((nA/rX)*np.sqrt(rB))),314,0.9324,0.6552
((((rA/rB)+(rA/rX))/(nA*rB))/(np.log((rA/rB))/(rB+rX))),314,0.9386,0.7241
((((rA/rB)+(rA/rX)))**2/((nA*(rA/rX))*np.log((rA/rB)))),314,0.9386,0.7241
((np.log(nB)*np.cbrt((rB/rX)))/((nB/nA)+((rB/rX)/(rA/rB)))),314,0.9403,0.7414
((((rA/rB))**2/np.cbrt(nA))/(((rA/rX)/rB)-((rB/rX)/rA))),314,0.9545,0.7845
((((rA/rB))**2/np.cbrt(nA))/(((rA/rB)/rX)-((rB/rX)/rA))),314,0.9547,0.7845
np.abs(((rX/nA)*np.log(nB))-((rB/nB)*np.exp((rA/rX)))),314,0.9574,0.6638
(((nA*(rA/rB))/np.exp((rA/rB)))/(np.sqrt(rB)/(rA-rB))),315,0.7301,0.7155
(((nA*(rA/rB))*np.log((rA/rB)))*(np.sqrt((rA/rX))/np.exp((rA/rB)))),315,0.7433,0.7414
(((nA/rX)*((rA/rB)-(rB/rX)))/(np.exp((rA/rB))/(rA-rB))),315,0.7591,0.7328
((((rA/rB)-(rB/rX))*((rA/rX)-(rB/rX)))/(np.exp((rA/rB))/nA)),315,0.7592,0.7328
(((nA*(rB/rX))*np.log((rA/rB)))/(((rA/rB)+(rB/rX))+((rA/rX)+(rB/rX)))),315,0.7884,0.7328
np.abs(((nA+nX)/(nB*(rB/rX)))-(np.log((rB/rX))/((rA/rX)-(rA/rB)))),315,0.8194,0.7672
(((rB/rX)*np.log((rA/rB)))*((nA/(rA/rX))+(nB/(rA/rB)))),315,0.8217,0.7328
